Load_NO,Load_SE,Load_FI,Load_DK,Load_IE,Load_UK,Load_NL,Load_BE,Load_LU,Load_DE,Load_PL,Load_LV,Load_EE,Load_LT,Load_CZ,Load_AT,Load_SK,Load_HU,Load_FR,Load_CH,Load_IT,Load_SI,Load_HR,Load_RO,Load_BG,Load_GR,Load_ES,Load_PT
11358,11452,7123,3186,3254.5,20561.5,11545.5,8500.25,486,47365.25,18100,602,679,1163,6226,6037.75,2798,5158,42227,6045,33980,1434,2118,5782.25,3461,5757,25684,5644
10924,11145,6964,3030,3000,19712.5,10990.25,8111.25,466.75,45552.75,17381,579,654,1131,6072,5699.5,2662,4856.75,40121,5749,32122,1369,1925,5619.75,3301,5434,24337,5225
10660,10779,6812,2927,2849.5,19155.5,10735.25,7888,458.75,44833.5,16981,572,628,1119,5904,5546,2616,4643.5,38911,5937,30951,1290,1831,5509.25,3218,5230,23350,4948
10629,10664,6836,2882,2731,18735.5,10554.75,7873.5,459,44430,16783,551,607,1113,5798,5413,2592,4588.25,37031,6092,30203,1291,1773,5527.25,3276,5120,22936,4760
10505,10785,7049,2864,2664,18530,10496.25,7916,463.75,45314.5,16507,571,627,1142,5829,5497.25,2604,4591,36431,6292,30130,1326,1762,5518.5,3280,5156,22729,4662
10591,11206,7649,2993,2666.5,18875.5,10590,8032,486.5,47753,16891,650,731,1319,6050,5977.5,2699,4711,37596,6589,30484,1397,1788,5828,3560,5206,23146,4541
11240,12313,8054,3473,2681.5,21313.5,10917.75,8613.75,542.75,53637,19272,751,827,1501,7018,7028,3067,5219.5,40223,6593,33552,1623,2054,6503.75,3868,5755,24718,4540
12039,13502,8315,3948,2872.5,24374,11539.75,9423.25,605.5,58668.25,21465,856,908,1648,7642,7790.5,3325,5607.5,44278,6423,38264,1759,2362,7082.75,4200,6402,26592,4708
12529,14063,8485,4242,3265,25609.5,11593.5,10081.75,646.75,61504.25,22743,919,949,1735,7997,8115.5,3503,5783,47019,7074,42998,1764,2603,7417.25,4340,6897,27971,5213
12654,14462,8642,4394,3681.5,25975,10952.25,10447.75,663.25,62174,23095,936,981,1780,8304,8163.5,3630,5899.5,48875,7596,45589,1775,2734,7625.25,4357,7231,29157,5975
12816,14498,8745,4497,3918.5,25494,10075,10565.75,676.25,63288,23166,940,970,1797,8309,8261.5,3618,5976.75,49401,7763,46503,1811,2820,7709,4448,7484,30127,6202
12960,14366,8823,4494,3953,25676,9569,10585.25,688,64277.25,23473,925,907,1771,8458,8281.75,3709,6026,50205,7896,46856,1870,2941,7784.25,4456,7694,30736,6260
