Region,NO,SE,FI,DK,IR,UK,NL,BE,LU,DE,PL,LV,EE,LT,CZ,AT,SK,HU,FR,CH,IT,SI,HR,RO,BG,GR,ES,PT
NO,0,669.11,1666.77,570.05,2116.18,1576.63,1111.73,1270.09,1318.41,1092.98,1434.7,1671.17,1755.85,1672.47,1355.93,1525.98,1670.45,1796.88,1704.35,1542.37,1972.57,1695.71,1832.88,2348.26,2550.79,2789.56,2741.66,3155.41
SE,669.11,0,1072.92,611.54,2640.43,2039.78,1379.48,1525.25,1467.63,1086.98,862.74,1005.42,1112.13,1003.85,969.66,1190.61,1155.73,1295.86,1915.06,1547.32,1764.47,1365.57,1455.64,1747.23,1980.06,2280.3,2948.98,3461.39
FI,1666.77,1072.92,0,1665.14,3713.28,3110.52,2421.17,2556.05,2458.18,2040.61,1200.05,492.83,281.74,668.4,1610.66,1824.53,1487.23,1605.02,2908.54,2444.93,2433.66,1958,1953.85,1612.67,1906.44,2336.08,3902.13,4463.6
DK,570.05,611.54,1665.14,0,2070.48,1452.09,767.96,914.94,876.46,553.5,1021.05,1499.3,1659.36,1440.27,824.28,969.83,1188.79,1299.66,1315.36,1022.91,1404.5,1134.66,1280.2,1916.78,2082.42,2272.99,2357.95,2853.22
IR,2116.18,2640.43,3713.28,2070.48,0,635.96,1407.57,1339.34,1548.99,1912.9,2973.51,3566.87,3728.86,3494,2583.07,2549.04,2993.65,3039.2,1296.26,1835.19,2432.57,2604.06,2771.69,3725.91,3779.15,3758.08,1533.03,1477.64
UK,1576.63,2039.78,3110.52,1452.09,635.96,0,772.22,714.7,934.83,1279.52,2337.55,2940.87,3110.78,2862.96,1950.37,1926.47,2362.67,2413.13,783.44,1249.13,1872,1993.03,2163.67,3099.92,3165.47,3173.18,1438.61,1658.78
NL,1111.73,1379.48,2421.17,767.96,1407.57,772.22,0,158.75,286.86,509.79,1567.36,2201.13,2388.46,2110.5,1180.18,1173.88,1594.15,1651.51,592.72,632.29,1251.62,1262.39,1435.86,2336.69,2419.27,2470.73,1632.93,2090.91
BE,1270.09,1525.25,2556.05,914.94,1339.34,714.7,158.75,0,229.55,582.4,1656.54,2317.92,2512.74,2219.52,1247.02,1212.07,1655.1,1700.35,434.97,575.61,1208.98,1280.4,1452.07,2387.21,2451.15,2472.81,1474.22,1938.99
LU,1318.41,1467.63,2458.18,876.46,1548.99,934.83,286.86,229.55,0,425.11,1487.57,2184.15,2391.81,2073.57,1058.46,1001.13,1457.49,1493.28,451.32,352.09,982.57,1058.5,1228.85,2178.97,2232.31,2244.61,1482.98,2006.74
DE,1092.98,1086.98,2040.61,553.5,1912.9,1279.52,509.79,582.4,425.11,0,1074.71,1759.07,1967.52,1649.97,670.91,675.81,1084.38,1143.65,869.95,471.51,909.93,787.06,958.9,1827.63,1918.61,2000.96,1873.44,2423.3
PL,1434.7,862.74,1200.05,1021.05,2973.51,2337.55,1567.36,1656.54,1487.57,1074.71,0,778.5,1025.52,627.11,457.64,640.48,323.82,464.24,1904.28,1359.78,1237.44,759.81,758.42,914.3,1123.67,1421.01,2806,3415.76
LV,1671.17,1005.42,492.83,1499.3,3566.87,2940.87,2201.13,2317.92,2184.15,1759.07,778.5,0,253.75,178.15,1225.75,1418.96,1029.71,1136.11,2623.55,2110.68,2010.21,1532.28,1505.16,1130.24,1422.42,1845.97,3568.61,4162.53
EE,1755.85,1112.13,281.74,1659.36,3728.86,3110.78,2388.46,2512.74,2391.81,1967.52,1025.52,253.75,0,429.22,1465.54,1664.86,1283.33,1389.58,2836.47,2338.59,2260.71,1782.6,1758.47,1338.25,1632.36,2067.3,3798.88,4383.35
LT,1672.47,1003.85,668.4,1440.27,3494,2862.96,2110.5,2219.52,2073.57,1649.97,627.11,178.15,429.22,0,1082.38,1265.13,858.89,961.17,2506.01,1978.41,1847.08,1370.22,1335.39,972.38,1261.62,1677.56,3430.92,4034.26
CZ,1355.93,969.66,1610.66,824.28,2583.07,1950.37,1180.18,1247.02,1058.46,670.91,457.64,1225.75,1465.54,1082.38,0,229.75,415.43,493.95,1457.77,903.58,841.04,398.6,492.14,1164.27,1284.65,1448.74,2348.83,2958.66
AT,1525.98,1190.61,1824.53,969.83,2549.04,1926.47,1173.88,1212.07,1001.13,675.81,640.48,1418.96,1664.86,1265.13,229.75,0,479.93,493.46,1356.23,778.88,614.57,176.53,311.04,1177.88,1245.44,1338,2184.48,2810.41
SK,1670.45,1155.73,1487.23,1188.79,2993.65,2362.67,1594.15,1655.1,1457.49,1084.38,323.82,1029.71,1283.33,858.89,415.43,479.93,0,142.26,1832.65,1258.09,998.84,532.65,476.66,750.17,893.64,1129.79,2653.2,3285.8
HU,1796.88,1295.86,1605.02,1299.66,3039.2,2413.13,1651.51,1700.35,1493.28,1143.65,464.24,1136.11,1389.58,961.17,493.95,493.46,142.26,0,1845.49,1264.85,934.61,496.77,398.21,686.88,790.91,995.66,2621.6,3263.13
FR,1704.35,1915.06,2908.54,1315.36,1296.26,783.44,592.72,434.97,451.32,869.95,1904.28,2623.55,2836.47,2506.01,1457.77,1356.23,1832.65,1845.49,0,581.83,1138.64,1368.97,1524.85,2517.47,2530.35,2470.88,1046.47,1555.57
CH,1542.37,1547.32,2444.93,1022.91,1835.19,1249.13,632.29,575.61,352.09,471.51,1359.78,2110.68,2338.59,1978.41,903.58,778.88,1258.09,1264.85,581.83,0,633.85,787.78,946.72,1935.71,1955.15,1926.46,1460.62,2056.39
IT,1972.57,1764.47,2433.66,1404.5,2432.57,1872,1251.62,1208.98,982.57,909.93,1237.44,2010.21,2260.71,1847.08,841.04,614.57,998.84,934.61,1138.64,633.85,0,478.12,536.94,1504.3,1449.3,1335.58,1715.97,2371.6
SI,1695.71,1365.57,1958,1134.66,2604.06,1993.03,1262.39,1280.4,1058.5,787.06,759.81,1532.28,1782.6,1370.22,398.6,176.53,532.65,496.77,1368.97,787.78,478.12,0,173.54,1149.21,1175.1,1214.43,2126.79,2766.5
HR,1832.88,1455.64,1953.85,1280.2,2771.69,2163.67,1435.86,1452.07,1228.85,958.9,758.42,1505.16,1758.47,1335.39,492.14,311.04,476.66,398.21,1524.85,946.72,536.94,173.54,0,1003.17,1009.15,1042.06,2236.97,2885.04
RO,2348.26,1747.23,1612.67,1916.78,3725.91,3099.92,2336.69,2387.21,2178.97,1827.63,914.3,1130.24,1338.25,972.38,1164.27,1177.88,750.17,686.88,2517.47,1935.71,1504.3,1149.21,1003.17,0,294.12,738.78,3220.12,3875.49
BG,2550.79,1980.06,1906.44,2082.42,3779.15,3165.47,2419.27,2451.15,2232.31,1918.61,1123.67,1422.42,1632.36,1261.62,1284.65,1245.44,893.64,790.91,2530.35,1955.15,1449.3,1175.1,1009.15,294.12,0,453.51,3146.45,3807.74
GR,2789.56,2280.3,2336.08,2272.99,3758.08,3173.18,2470.73,2472.81,2244.61,2000.96,1421.01,1845.97,2067.3,1677.56,1448.74,1338,1129.79,995.66,2470.88,1926.46,1335.58,1214.43,1042.06,738.78,453.51,0,2942.33,3603.46
ES,2741.66,2948.98,3902.13,2357.95,1533.03,1438.61,1632.93,1474.22,1482.98,1873.44,2806,3568.61,3798.88,3430.92,2348.83,2184.48,2653.2,2621.6,1046.47,1460.62,1715.97,2126.79,2236.97,3220.12,3146.45,2942.33,0,662.54
PT,3155.41,3461.39,4463.6,2853.22,1477.64,1658.78,2090.91,1938.99,2006.74,2423.3,3415.76,4162.53,4383.35,4034.26,2958.66,2810.41,3285.8,3263.13,1555.57,2056.39,2371.6,2766.5,2885.04,3875.49,3807.74,3603.46,662.54,0
