PLANT,NO,SE,FI,DK,IE,UK,NL,BE,LU,DE,PL,LV,EE,LT,CZ,AT,SK,HU,FR,CH,IT,SI,HR,RO,BG,GR,ES,PT
HydroRes,27.64994329,15.6172,3.236608,0,0,0,0,0,0,0.819,0.42748,0,0,0,0.51754,2.787129,0.02128,0,10.029,8.53,8.7969925,0.0214,1.94809,2.561854,1.2813,2.7437,11.41419,3.7655
HydroRoR,7.467944219,0,0,0,0.215,2.219471141,0.037,0.148202,0.042,3.9339,0.36731,1.592,0,0.1262,0.43163,6.37793276,1.6281815,0.064203,13.614,4.215,7.05020064,1.180665916,0.38408,3.366474,0.53551,0.383,3.424665616,0.771
PSHopenTurb,0.7113,0,0,0,0,0,0,0,0,2.1441,0.21626,0,0,0,0.65355,5.6075,0.2762,0,1.85,2.46,3.617858,0,0.2814,0.809944,0.535,0.699,4.22332,3.8394
PSHopenPump,0.759788,0,0,0,0,0,0,0,0,1.861,0.172,0,0,0,0.599,5.53292,0.17828,0,1.85,1.89,2.142,0,0.2469,0.0915,0.148,0.735,3.964005633,3.5864
PSHclosedTurb,0,0,0,0,0.592,2.744,0,1.305,1.31,7.00984,1.33335,0,0,0.938,0.68805,0.45,0.76,0,1.95,1.9,4.1702,0.18,0,0,0.864,0.68,5.304485333,0
PSHclosedPump,0,0,0,0,0.592,2.684,0,1.22676,1.026,7.1666,1.486,0,0,0.9,0.664,0.45,0.69,0,1.95,1.9,4.174,0.185,0,0,0.784,0.71,5.20459,0
Gas,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09
Wind,93.28,116.51,83.49,18.59,29.41,87.39,11.8,9.64,0.47,130.44,127.83,26,17.9,27.36,30.88,33.24,16.43,34.29,223.77,16.29,102.72,6.05,17.38,88.15,37.28,44.98,176.42,34.32
OffWind,13.19,41.26,20.93,32.92,9.98,80.44,31.54,3.11,0,13.3,8.37,9.26,13.03,1.58,0,0,0,0,23.62,0.02,23.54,0.07,7.17,4.63,3.04,3.02,7.21,1.45
PV,179.43,49.56,28.79,59.26,113.29,281.48,33.8,23.85,1.03,375.54,431.76,62.23,31.29,98.37,93.19,64.16,44.85,140.7,773.16,41.62,265.8,9.15,50.93,315.14,133.47,91.82,590,66
RooftopPV,11.37,14.36,9.7,11.83,6.61,110.31,34.23,28.13,1.39,132.91,43.23,2.52,1.36,2.34,22.48,11.66,10.5,14.54,106.64,20.14,128.85,3.93,5.61,26.2,10.05,9.06,64.77,17.96
Battery,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09
Inverter,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09
Nuclear,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09
Electrolyzer,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09
H2Storage,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09
H2GT,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09
